Handle,Posted,Text,Deleted,Uri,Images
joshnicholas.com,2023-10-02,Don’t know if anyone noticed but Melbourne has a fair few coffee spots. #5,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kascj7dzyg2u,bafkreicfso2vyf3nleps52q2drl7ysyly6qhmkfip63j5omhgemy7cu4gi.jpg
joshnicholas.com,2023-10-02,The sun went away :(,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kaqufzlh7c23,bafkreienzb7esv5k6zixlb557tw3pofg36mzal5w4phcvqik5ylfks4qhu.jpg
joshnicholas.com,2023-10-01,First Inktober: Dream. (It’s only a guitar coz I couldn’t figure out how to make the composition work with a harmonica),False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kapt4hhz2j2f,bafkreiej3i677y4434oskjlgm5dlaqss3mv6asfewvylk5ftu26kq7oo64.jpg
joshnicholas.com,2023-09-26,Don’t know if anyone noticed but Melbourne has a fair few coffee spots. #4,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kadduztt572h,bafkreifl563npu54rudx7r3y3kmddb6nifz7luue24asivqswnizte5svm.jpg
joshnicholas.com,2023-09-24,Still can’t do hands,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3ka4ets5ogi2c,bafkreihlswud2khkobfzjfw24qu753nwnvy2qg46c4r6ca5oulxywfjda4.jpg
joshnicholas.com,2023-09-24,Another sunny day today! 😎,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3ka44ps4b6b2a,bafkreie6ch7b3ot5tygywn42ke6nnhdktfcatrnqcdikikice3rtju7uim.jpg
joshnicholas.com,2023-09-23,"Now that I’ve read this I, too, can start using “Orwellian” as a synonym for “bad”. Also this book is quite good.",False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k7znk2durx2f,bafkreicyww3pyacdifqwc5i5g7riyy4vmh7po4xzjgmfvd5qabtzxnxkoa.jpg
joshnicholas.com,2023-09-21,🤔,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k7vnzwel622j,bafkreiafn273uka3arjclw2olyuwajyd7yzn3roln6gqz6hloztgl4am6i.jpg
joshnicholas.com,2023-09-19,Don’t know if anyone noticed but Melbourne has a fair few coffee spots. #3,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k7rqks2zc22c,bafkreihwchbvxkyik6i45iqktetopezprlmj5s5qrwjys54x3ovgblym6u.jpg
joshnicholas.com,2023-09-18,Don’t know if anyone noticed but Melbourne has a fair few coffee spots. #2,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k7p6ssuaw32n,bafkreibgivyalmabacenoefpx36fj5cfelt5t22bytmratbc5ghyz6blh4.jpg
joshnicholas.com,2023-09-17,Don’t know if anyone noticed but Melbourne has a fair few coffee spots. #1,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k7mok3jooz2u,bafkreigq6pwlntfjim6zp7fw6doqep7nxjgzgmqanuvfa7ot6micd7llpe.jpg
joshnicholas.com,2023-09-17,Lovely sunny day at the market 😄,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k7kp6jyljc2n,bafkreibukegbww7xderxxwbz4xzp22busmj7nwcbrrmid2soregy7cde54.jpg
joshnicholas.com,2023-09-06,It almost makes the Australia Tax worth it,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k6qu34zisj2e,bafkreicrcoxshhcr2kw6x24pb2zf7ngwqxasah7cocwuynatldcxpdr53y.jpg
joshnicholas.com,2023-09-04,TIL the greatest poster ever exists,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k6m3bp7bpg2s,bafkreiegzrljan2l4uto57reimmz24wedkzrjegh2pvtbftb63lbshilsq.jpg
joshnicholas.com,2023-09-02,A lovely sunny day!,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k6ewhxpemi2j,bafkreigrtdbqrobiuwn2z7h7ulyg7ujtier5x43pbr4syeq6467o4k2foi.jpg
joshnicholas.com,2023-08-29,A couple more of the buds opened overnight 😄… Although I mixed the colours a little too muddy 😬,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k64y2nxa7u2e,bafkreidphuoxkso2wpqvnmyxhcbmb3hep7zt35nyroutseu5d7a4jmyslq.jpg
joshnicholas.com,2023-08-28,We got a new bunch! This one hasn’t given up yet,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k62f5w3mzu2o,bafkreibye4x2xj6vgdci46on7jbxfzy3cxglvqt7x54h7ptlsccwevdzee.jpg
joshnicholas.com,2023-08-26,Started a new sketchbook and project. Going to try and fill it with scenes with people. #1,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k5vj2tfejt2p,bafkreiaus2dmkur42jraaqksromzav3fm7kyc6y5m2z2zbcqr2r5az3ohq.jpg
joshnicholas.com,2023-08-26,Came to see the Rembrandt exhibit and now all I can think of is light,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k5tcuc3j3j23,bafkreig6vvxeq4u5hfmu2h52rqc3vn6sauw2l6sgqwhuhylg564ei3smka.jpg
joshnicholas.com,2023-08-21,Haven’t done an office still life in a while,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k5gqgpdjc52f,bafkreifngbhupe7mr52pj677tw7r3tmypog4s7cha52co75cwacps7plu4.jpg
joshnicholas.com,2023-08-20,"If Australia’s net overseas migration is going to remain fixed even as the population grows, what will that mean for processing times for parent visas, partner visas etc.? The wait for some parents is already over a decade and up to three decades",False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k5g7hiljjv2s,bafkreidfsrm7ibw6jnkjq35nmb3qrkakbtuzszlcqdmxmuzvmxmtse6xvi.jpg
joshnicholas.com,2023-08-18,Long train trip today,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k5bdthbo3k26,bafkreiesq5jfauxgmvszskuefq36icwxqhjmdxrf5kxxpe72lbx5arvj7y.jpg
joshnicholas.com,2023-08-17,Very bitter coffee this morning,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k56s2wrewu26,bafkreibijoh7zwzyzdopmg427olmj75elisnr2kff5qjn7s3zmtmu2cz34.jpg
joshnicholas.com,2023-08-15,Just had breakfast but am very hungry,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k4zqywmfwu2r,bafkreigcony7m75kd467trwnv6pnb22drkx65zfj4xmzpzdcjtu7fqleyi.jpg
joshnicholas.com,2023-08-13,The markets again,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k4svuvgnhq2n,bafkreidi7shj33j5psa2oai5utka2enrvytntj2xlcronsei4zeeyremra.jpg
joshnicholas.com,2023-08-13,Checkmate,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k4ssbqtzwo2t,bafkreiaba6gvnzoykev7rntos6dxa2olanxqerglcvqxyuyapjq4yqulx4.jpg
joshnicholas.com,2023-08-12,Lost our table before I could finish :(,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k4pvpinwmx2i,bafkreic3w5oldeuwogkhfuqt6li2qlcyucupbm55vcy4urqwtun2yhvidq.jpg
joshnicholas.com,2023-08-07,We bought some nice flowers but like 24 hours later they’ve completely given up,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k4fnj3icfn2k,bafkreiezxc7giwcqguvq64tqknqfdcfilgfqnsl3elg6oms2pm6wfwh6ii.jpg
joshnicholas.com,2023-08-07,Have updated our Voice polling tracker. Can see more incl. methodology -> www.theguardian.com/news/data…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k4dhecrqf225,bafkreigqzsja3ohcgqml72jwxo7ro4pz34qdar3itfffu3i7hg2iw6n6hy.jpg
joshnicholas.com,2023-08-05,Endless lines,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3k46bwmtqbu27,bafkreiegyh6juskrm2esd56lxwyljqrx22nsuvo3c7hoobvn5ijmxgsvxq.jpg
